geometry,code
POINT (0.0007682372286964 0.0002482296259863),BaylorSCH0SW-WasinkhyahTMP0SW
POINT (0.0007682278071035 0.0002482306405015),BaylorSCH0W-WasinkhyahTMP0W
POINT (0.0007682314006425 0.0002482273205657),BaylorSCH0SW-WasinkhyahTMP0SW-2
POINT (0.000768233072954 0.0002482286576728),BaylorSCH0SW-WasinkhyahTMP0SW-3
POINT (0.0007682275694992 0.0002482313488231),BaylorSCH0W-WasinkhyahTMP0W-2
POINT (0.0007682407368812 0.0002482266181612),BaylorSCH0SW-WasinkhyahTMP0SW-4
POINT (0.0007682230608547 0.0002482246559251),BaylorSCH0SW-WasinkhyahTMP0SW-5
POINT (0.0007682413721175 0.0002482278228875),BaylorSCH0SW-WasinkhyahTMP0SW-6
POINT (0.0007682345356908 0.0002482264918954),BaylorSCH0SW-WasinkhyahTMP0SW-7
POINT (0.0007682133600455 0.0002482229235832),BaylorSCH0W-WasinkhyahTMP0W-3
POINT (0.0007682466895186 0.0002482168486458),BaylorSCH0S-WasinkhyahTMP0S
POINT (0.0007682794813168 0.0002482125254943),BaylorSCH0SE-WasinkhyahTMP0SE
POINT (0.0007682525355419 0.0002482134093636),BaylorSCH0S-WasinkhyahTMP0S-2
POINT (0.0007682815189859 0.0002482126610332),BaylorSCH0SE-WasinkhyahTMP0SE-2
POINT (0.0007682805225575 0.0002482076839374),BaylorSCH0SE-WasinkhyahTMP0SE-3
POINT (0.000768279197672 0.0002482158290984),BaylorSCH0SE-WasinkhyahTMP0SE-4
POINT (0.0007682530246827 0.0002482127190563),BaylorSCH0S-WasinkhyahTMP0S-3
POINT (0.0007682814601815 0.0002482161101401),BaylorSCH0SE-WasinkhyahTMP0SE-5
POINT (0.0007682803464802 0.0002482145223912),BaylorSCH0SE-WasinkhyahTMP0SE-6
POINT (0.0007682844115804 0.0002482157768809),BaylorSCH0SE-WasinkhyahTMP0SE-7
POINT (0.0007682490653501 0.0002482136801909),BaylorSCH0S-WasinkhyahTMP0S-4
POINT (0.0007682689860993 0.000248221375428),BaylorSCH0SE-WasinkhyahTMP0SE-8
POINT (0.0007682621442287 0.0002482215120971),BaylorSCH0SE-WasinkhyahTMP0SE-9
POINT (0.0007682583113092 0.0002482207995167),BaylorSCH0SE-WasinkhyahTMP0SE-10
POINT (0.0007682705642867 0.0002482152184812),BaylorSCH0SE-WasinkhyahTMP0SE-11
POINT (0.0007682567912462 0.0002482204639368),BaylorSCH0SE-WasinkhyahTMP0SE-12
POINT (0.0007682546912702 0.0002482207640487),BaylorSCH0SE-WasinkhyahTMP0SE-13
POINT (0.0007682735924369 0.000248213384314),BaylorSCH0SE-WasinkhyahTMP0SE-14
POINT (0.0007682553129855 0.0002482215318104),BaylorSCH0SE-WasinkhyahTMP0SE-15
POINT (0.0007682601648941 0.0002482167639959),BaylorSCH0SE-WasinkhyahTMP0SE-16
POINT (0.0007682720598657 0.0002482078163658),BaylorSCH0SE-WasinkhyahTMP0SE-17
POINT (0.0007682633963361 0.0002482145101388),BaylorSCH0SE-WasinkhyahTMP0SE-18
POINT (0.0007682658070628 0.0002482135630273),BaylorSCH0SE-WasinkhyahTMP0SE-19
POINT (0.0007682587080665 0.0002482133401324),BaylorSCH0SE-WasinkhyahTMP0SE-20
POINT (0.0007682751876411 0.0002482148633692),BaylorSCH0SE-WasinkhyahTMP0SE-21
POINT (0.0007682657438778 0.0002482131284479),BaylorSCH0SE-WasinkhyahTMP0SE-22
POINT (0.0007682621180101 0.0002482126295806),BaylorSCH0SE-WasinkhyahTMP0SE-23
POINT (0.0007682603497116 0.0002482191345878),BaylorSCH0SE-WasinkhyahTMP0SE-24
POINT (0.0007682715122408 0.0002482082062685),BaylorSCH0SE-WasinkhyahTMP0SE-25
POINT (0.0007682617594799 0.0002482208374098),BaylorSCH0SE-WasinkhyahTMP0SE-26
POINT (0.0007682644142162 0.0002482153586045),BaylorSCH0SE-WasinkhyahTMP0SE-27
POINT (0.0007682705088282 0.0002482094584615),BaylorSCH0SE-WasinkhyahTMP0SE-28
POINT (0.000768259727194 0.0002482167388381),BaylorSCH0SE-WasinkhyahTMP0SE-29
POINT (0.0007682686587934 0.0002482087618435),BaylorSCH0SE-WasinkhyahTMP0SE-30
POINT (0.000768253722259 0.0002482206025147),BaylorSCH0SE-WasinkhyahTMP0SE-31
POINT (0.0007682709419577 0.0002482083892319),BaylorSCH0SE-WasinkhyahTMP0SE-32
POINT (0.0007682658147579 0.0002482145944604),BaylorSCH0SE-WasinkhyahTMP0SE-33
POINT (0.0007682734496048 0.0002482148279067),BaylorSCH0SE-WasinkhyahTMP0SE-34
POINT (0.0007682707521644 0.0002482210235361),BaylorSCH0SE-WasinkhyahTMP0SE-35
POINT (0.0007682720566858 0.0002482103921177),BaylorSCH0SE-WasinkhyahTMP0SE-36
POINT (0.000768267218126 0.000248209661445),BaylorSCH0SE-WasinkhyahTMP0SE-37
POINT (0.0007682719745704 0.0002482079152854),BaylorSCH0SE-WasinkhyahTMP0SE-38
POINT (0.0007682540030777 0.0002482203565502),BaylorSCH0SE-WasinkhyahTMP0SE-39
POINT (0.0007682569516796 0.0002482194254823),BaylorSCH0SE-WasinkhyahTMP0SE-40
POINT (0.0007682703106652 0.000248208462818),BaylorSCH0SE-WasinkhyahTMP0SE-41
POINT (0.0007682625239656 0.000248220279468),BaylorSCH0SE-WasinkhyahTMP0SE-42
POINT (0.0007682698682229 0.0002482085698544),BaylorSCH0SE-WasinkhyahTMP0SE-43
POINT (0.0007682721505391 0.000248218384889),BaylorSCH0SE-WasinkhyahTMP0SE-44
POINT (0.0007682639717807 0.0002482208117237),BaylorSCH0SE-WasinkhyahTMP0SE-45
POINT (0.0007682581182655 0.0002482186729215),BaylorSCH0SE-WasinkhyahTMP0SE-46
POINT (0.0007682674268551 0.0002482125656995),BaylorSCH0SE-WasinkhyahTMP0SE-47
POINT (0.0007682630875666 0.0002482152150656),BaylorSCH0SE-WasinkhyahTMP0SE-48
POINT (0.0007682594013012 0.0002482163505511),BaylorSCH0SE-WasinkhyahTMP0SE-49
POINT (0.0007682724809789 0.0002482143581056),BaylorSCH0SE-WasinkhyahTMP0SE-50
POINT (0.000768273661676 0.0002482079204212),BaylorSCH0SE-WasinkhyahTMP0SE-51
POINT (0.0007682696446463 0.0002482146744432),BaylorSCH0SE-WasinkhyahTMP0SE-52
POINT (0.0007682770222047 0.0002482068598501),BaylorSCH0SE-WasinkhyahTMP0SE-53
POINT (0.0007682579349061 0.0002482201458121),BaylorSCH0SE-WasinkhyahTMP0SE-54
POINT (0.0007682640916951 0.000248218603565),BaylorSCH0SE-WasinkhyahTMP0SE-55
POINT (0.0007682591481975 0.0002482177410983),BaylorSCH0SE-WasinkhyahTMP0SE-56
POINT (0.0007682599309185 0.0002482142167826),BaylorSCH0SE-WasinkhyahTMP0SE-57
POINT (0.0007682588031707 0.0002482163884331),BaylorSCH0SE-WasinkhyahTMP0SE-58
POINT (0.0007682741305644 0.0002482104467404),BaylorSCH0SE-WasinkhyahTMP0SE-59
POINT (0.0007682773012904 0.0002482143504827),BaylorSCH0SE-WasinkhyahTMP0SE-60
POINT (0.0007682567133978 0.0002482188894904),BaylorSCH0SE-WasinkhyahTMP0SE-61
POINT (0.0007682591394115 0.0002482205047155),BaylorSCH0SE-WasinkhyahTMP0SE-62
POINT (0.0007682537376439 0.0002482137607519),BaylorSCH0S-WasinkhyahTMP0S-5
POINT (0.00076826042989 0.0002482153568432),BaylorSCH0SE-WasinkhyahTMP0SE-63
POINT (0.0007682537038112 0.0002482187300615),BaylorSCH0S-WasinkhyahTMP0S-6
